organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Oryza longistaminata	4528	PRJNA293398	293398	Plants	Land Plants	362.064	43.0773	GCA_001514335.2	chromosome 1:CM003660.1; chromosome 2:CM003661.1; chromosome 3:CM003662.1; chromosome 4:CM003663.1; chromosome 5:CM003664.1; chromosome 6:CM003665.1; chromosome 7:CM003666.1; chromosome 8:CM003667.1; chromosome 9:CM003668.1; chromosome 10:CM003669.1; chromosome 11:CM003670.1; chromosome 12:CM003671.1	LQBC01	11745	NA	NA	2016-01-13	2016-01-21	Chromosome	Kunming Institute of Zoology, Chinese Academy of Science	SAMN03996572
Oryza meyeriana var. granulata	110450	PRJNA13788	13788	Plants	Land Plants	35.2457	46	GCA_000325645.2	NA	ALNT01	1	NA	NA	2012-10-17	2014-08-06	Scaffold	The Oryza Map Alignment Project (OMAP)	SAMN02953821
Citrus clementina	85681	PRJNA223006	223006	Plants	Land Plants	301.365	35.2	GCA_000493195.1	NA	AMZM01	1398	25000	34557	2013-10-30	2014-05-05	Scaffold	International Citrus Genome Consortium	SAMN02389527
Asclepias syriaca	48545	PRJNA210776	210776	Plants	Land Plants	236.77	36.9	GCA_002018285.1	NA	MSXX01	221855	NA	NA	2017-03-03	2017-03-03	Scaffold	Oregon State University	SAMN06166495
Oryza glumipatula	40148	PRJNA48429	48429	Plants	Land Plants	372.86	43.7266	GCA_000576495.1	chromosome chr1:CM002512.1; chromosome chr10:CM002513.1; chromosome chr11:CM002514.1; chromosome chr12:CM002515.1; chromosome chr2:CM002516.1; chromosome chr3:CM002517.1; chromosome chr4:CM002518.1; chromosome chr5:CM002519.1; chromosome chr6:CM002520.1; chromosome chr7:CM002521.1; chromosome chr8:CM002522.1; chromosome chr9:CM002523.1	ALNU02	12	NA	NA	2013-02-06	2014-08-11	Chromosome	Oryza Map Alignment Project (OMAP)	SAMN02981440
Oryza meridionalis	40149	PRJNA48433	48433	Plants	Land Plants	335.668	44.1725	GCA_000338895.2	chromosome 1:CM002524.1; chromosome 2:CM002525.1; chromosome 3:CM002526.1; chromosome 4:CM002527.1; chromosome 5:CM002528.1; chromosome 6:CM002529.1; chromosome 7:CM002530.1; chromosome 8:CM002531.1; chromosome 9:CM002532.1; chromosome 10:CM002533.1; chromosome 11:CM002534.1; chromosome 12:CM002535.1	ALNW02	12	NA	NA	2012-10-17	2014-08-11	Chromosome	Oryza Map Alignment Project (OMAP)	SAMN02981442
Phalaenopsis equestris	78828	PRJNA382149	382149	Plants	Land Plants	1064.2	35.5002	GCA_001263595.1	chloroplast Pltd:NC_017609.1/JF719062.1	APLD01	89584	21597	29894	2015-08-07	2015-08-11	Scaffold	NCBI	SAMN02046388
Sesamum indicum	4182	PRJNA268358	268358	Plants	Land Plants	275.059	35.2239	GCA_000512975.1	chromosome Pltd:CEUY01279245.1; linkage group LG1:NC_026145.1/CM002349.1; linkage group LG2:NC_026146.1/CM002357.1; linkage group LG3:NC_026147.1/CM002358.1; linkage group LG4:NC_026148.1/CM002359.1; linkage group LG5:NC_026149.1/CM002360.1; linkage group LG6:NC_026150.1/CM002361.1; linkage group LG7:NC_026151.1/CM002362.1; linkage group LG8:NC_026152.1/CM002363.1; linkage group LG9:NC_026153.1/CM002364.1; linkage group LG10:NC_026154.1/CM002350.1; linkage group LG11:NC_026155.1/CM002351.1; linkage group LG12:NC_026156.1/CM002352.1; linkage group LG13:NC_026157.1/CM002353.1; linkage group LG14:NC_026158.1/CM002354.1; linkage group LG15:NC_026159.1/CM002355.1; linkage group LG16:NC_026160.1/CM002356.1	APMJ01	16369	26551	35410	2013-12-24	2015-03-15	Chromosome	NCBI	SAMN02981519
Cannabis sativa	3483	PRJNA350523	350523	Plants	Land Plants	585.824	NA	GCA_001865755.1	NA	MNPR01	11110	NA	NA	2016-11-03	2016-11-03	Contig	Phylos Bioscience	SAMN05941636
Prunus avium	42229	PRJDB4877	388785	Plants	Land Plants	272.362	38.8	GCA_002207925.1	NA	BDGV01	10148	29790	35009	2017-06-01	2017-06-01	Scaffold	Kazusa DNA Research Institute	SAMD00052827
Persea americana	3435	PRJNA412302	412302	Plants	Land Plants	446.756	39	GCA_002908915.1	NA	NXHZ01	5000	NA	NA	2018-01-30	2018-01-30	Contig	Hainan University	SAMN07709230
Ipomoea batatas	4120	PRJNA301667	301667	Plants	Land Plants	837.013	35.8684	GCA_002525835.2	chromosome 1:CM008331.1; chromosome 2:CM008332.1; chromosome 3:CM008333.1; chromosome 4:CM008334.1; chromosome 5:CM008335.1; chromosome 6:CM008336.1; chromosome 7:CM008337.1; chromosome 8:CM008338.1; chromosome 9:CM008339.1; chromosome 10:CM008340.1; chromosome 11:CM008341.1; chromosome 12:CM008342.1; chromosome 13:CM008343.1; chromosome 14:CM008344.1; chromosome 15:CM008345.1	NXFB01	28461	NA	NA	2017-10-11	2017-10-16	Chromosome	Max Planck Institute Molecular Genetics	SAMN04254013
Amborella trichopoda	13333	PRJNA212863	212863	Plants	Land Plants	706.495	38.1	GCA_000471905.1	chloroplast Pltd:NC_005086.1/AJ506156.2	AWHE01	5746	19354	31494	2013-09-27	2013-12-29	Scaffold	Amborella Genome Sequencing Project	SAMN02313977
Arachis duranensis	130453	PRJNA316327	316327	Plants	Land Plants	1084.26	37.675	GCA_000817695.2	chromosome A01:NC_029772.2/CM003088.2; chromosome A02:NC_029773.2/CM003089.2; chromosome A03:NC_029774.2/CM003090.2; chromosome A04:NC_029775.2/CM003091.2; chromosome A05:NC_029776.2/CM003092.2; chromosome A06:NC_029777.2/CM003093.2; chromosome A07:NC_029778.2/CM003094.2; chromosome A08:NC_029779.2/CM003095.2; chromosome A09:NC_029780.2/CM003096.2; chromosome A10:NC_029781.2/CM003097.2	JQIN01	3189	45035	52826	2015-01-13	2017-04-11	Chromosome	NCBI	SAMN02982871
Pseudotsuga menziesii	3357	PRJNA174450	174450	Plants	Land Plants	14673.2	36.5	GCA_001517045.1	NA	LPNX01	1236665	NA	NA	2015-12-22	2015-12-22	Scaffold	UC Davis	SAMN03333061
Vaccinium macrocarpon	13750	PRJNA245813	245813	Plants	Land Plants	414.622	38.2	GCA_000775335.2	NA	JOTO01	200203	NA	NA	2014-09-04	2014-09-04	Scaffold	rutgers university	SAMN02739898
Pinus lambertiana	3343	PRJNA174450	174450	Plants	Land Plants	27602.7	3.1	GCA_001447015.2	NA	LMTP01	4253097	NA	NA	2015-11-17	2015-11-17	Scaffold	UC Davis	SAMN03354659
Cucurbita pepo subsp. pepo	3664	PRJNA421955	421955	Plants	Land Plants	261.355	37.256100000000004	GCA_002806865.2	chromosome LG01:NC_036638.1/CM008918.1; chromosome LG02:NC_036639.1/CM008919.1; chromosome LG03:NC_036640.1/CM008920.1; chromosome LG04:NC_036641.1/CM008921.1; chromosome LG05:NC_036642.1/CM008922.1; chromosome LG06:NC_036643.1/CM008923.1; chromosome LG07:NC_036644.1/CM008924.1; chromosome LG08:NC_036645.1/CM008925.1; chromosome LG09:NC_036646.1/CM008926.1; chromosome LG10:NC_036647.1/CM008927.1; chromosome LG11:NC_036648.1/CM008928.1; chromosome LG12:NC_036649.1/CM008929.1; chromosome LG13:NC_036650.1/CM008930.1; chromosome LG14:NC_036651.1/CM008931.1; chromosome LG15:NC_036652.1/CM008932.1; chromosome LG16:NC_036653.1/CM008933.1; chromosome LG17:NC_036654.1/CM008934.1; chromosome LG18:NC_036655.1/CM008935.1; chromosome LG19:NC_036656.1/CM008936.1; chromosome LG20:NC_036657.1/CM008937.1; mitochondrion MT:NC_014050.1/GQ856148.1	NHTM01	25263	35096	43466	2017-12-04	2017-12-07	Chromosome	NCBI	SAMN07125871
Dorcoceras hygrometricum	472368	PRJNA182117	182117	Plants	Land Plants	1521.36	43.1	GCA_001598015.1	NA	LVEL01	401752	47778	47778	2016-03-25	2016-04-28	Scaffold	Capital Normal University, Beijing, China	SAMN02215335
Boechera stricta	72658	PRJNA319286	319286	Plants	Land Plants	188.795	30.9	GCA_002079875.1	NA	MLHT01	1944	NA	NA	2017-04-05	2017-04-05	Scaffold	Joint Genome Institute	SAMN04884537
Nicotiana tomentosiformis	4098	PRJNA182501	182501	Plants	Land Plants	1688.47	39.0999	GCA_000390325.2	chloroplast Pltd:NC_007602.1/AB240139.1	ASAG01	159548	37153	48963	2013-05-10	2016-08-02	Scaffold	Philip Morris International R&D	SAMN02981530
Eutrema salsugineum	72664	PRJNA73205	73205	Plants	Land Plants	243.11	37.9	GCA_000478725.1	NA	ANOA01	638	26528	29485	2013-10-22	2014-08-11	Scaffold	Joint Genome Institute	SAMN02981485
Bathycoccus prasinos	41875	PRJEA71363	71363	Plants	Green Algae	15.0743	48.024	GCA_002220235.1	chromosome 1:NC_024008.1/FO082278.1; chromosome 2:NC_024007.1/FO082277.1; chromosome 3:NC_024006.1/FO082276.1; chromosome 4:NC_024005.1/FO082275.1; chromosome 5:NC_024004.1/FO082274.1; chromosome 6:NC_024003.1/FO082273.1; chromosome 7:NC_024002.1/FO082272.1; chromosome 8:NC_024001.1/FO082271.1; chromosome 9:NC_024000.1/FO082270.1; chromosome 10:NC_023999.1/FO082269.1; chromosome 11:NC_023998.1/FO082268.1; chromosome 12:NC_023997.1/FO082267.1; chromosome 13:NC_023996.1/FO082266.1; chromosome 14:NC_023995.1/FO082265.1; chromosome 15:NC_023994.1/FO082264.1; chromosome 16:NC_023993.1/FO082263.1; chromosome 17:NC_023992.1/FO082262.1; chromosome 18:NC_023991.1/FO082261.1; chromosome 19:NC_023990.1/FO082260.1; mitochondrion MT:NC_023273.1/FO082258.2; chloroplast Pltd:NC_024811.1/FO082259.2	NA	21	7967	7900	2012-06-21	2017-08-25	Chromosome	Bathycoccus Genome Consortium	NA
Vicia faba	3906	PRJEB8906	279067	Plants	Land Plants	80.3627	38.9	GCA_001375635.1	NA	CSVX01	74659	NA	NA	2015-03-24	2015-03-24	Contig	IPK GATERSLEBEN	SAMEA3311348
Eucalyptus camaldulensis	34316	PRJDA71141	71141	Plants	Land Plants	654.922	39.2	GCA_000260855.1	NA	BADO01	274001	NA	NA	2012-01-21	2015-10-22	Contig	Kazusa DNA Research Institute	SAMD00010821
Carthamus tinctorius	4222	PRJNA313459	313459	Plants	Land Plants	661.938	36.5	GCA_001633085.1	NA	LUCG01	463906	NA	NA	2016-04-27	2016-04-27	Scaffold	University of Georgia	SAMN04523257
Panicum hallii	206008	PRJNA250527	250527	Plants	Land Plants	553.845	46.9219	GCA_002211085.1	chromosome 1:CM008046.1; chromosome 2:CM008047.1; chromosome 3:CM008048.1; chromosome 4:CM008049.1; chromosome 5:CM008050.1; chromosome 6:CM008051.1; chromosome 7:CM008052.1; chromosome 8:CM008053.1; chromosome 9:CM008054.1	NCQW01	8756	37205	49825	2017-06-19	2017-07-10	Chromosome	DOE Joint Genome Institute	SAMN03003198
Pyrus x bretschneideri	225117	PRJNA259338	259338	Plants	Land Plants	508.551	37.5	GCA_000315295.1	NA	AJSU01	2182	42137	47086	2012-11-21	2013-11-06	Scaffold	NCBI	SAMN01797448
Chenopodium quinoa	63459	PRJNA394242	394242	Plants	Land Plants	1333.55	37	GCA_001683475.1	chloroplast Pltd:NC_034949.1/KY419706.1	LPWI01	3487	58734	63173	2016-07-11	2016-07-11	Scaffold	NCBI	SAMN04338310
Fragaria x ananassa	3747	PRJDB1477	231451	Plants	Land Plants	697.762	39.2	GCA_000511835.1	NA	BATT01	625966	NA	NA	2013-11-27	2015-10-17	Scaffold	Kazusa DNA Research Institute	NA
Erigeron canadensis	72917	PRJNA248374	248374	Plants	Land Plants	326.165	33.5	GCA_000775935.1	NA	JSWR01	20075	NA	NA	2014-11-13	2015-04-07	Contig	University of Tennessee	SAMN02798061
Momordica charantia	3673	PRJDB4642	359235	Plants	Land Plants	285.614	35.8	GCA_001995035.1	NA	BDCS01	1052	21623	28666	2016-12-27	2016-12-27	Scaffold	Division of Gene Research, Research Center for Human and Environmental Science, Shinshu University	SAMD00048603
Eschscholzia californica subsp. californica	222997	PRJDB6318	427884	Plants	Land Plants	489.065	NA	GCA_002897215.1	NA	BEHA01	53253	NA	NA	2017-12-28	2017-12-28	Scaffold	Kazusa DNA Research Institute	SAMD00093367
Catharanthus roseus	4058	PRJNA252611	252611	Plants	Land Plants	522.654	33.6	GCA_000949345.1	NA	JQHZ01	79302	NA	NA	2015-03-06	2015-03-24	Scaffold	Michigan State University	SAMN02989763
Humulus lupulus var. lupulus	1571165	PRJDB3233	270039	Plants	Land Plants	2049.21	39.9	GCA_000831365.1	NA	BBPC01	132476	NA	NA	2014-12-11	2015-04-24	Scaffold	Iwate Biotechnology Research Center	SAMD00021060
Macleaya cordata	56857	PRJNA359127	359127	Plants	Land Plants	377.834	32.9	GCA_002174775.1	NA	MVGT01	4547	21911	21911	2017-06-07	2017-06-07	Scaffold	Chinese Academy of Agricultural Sciences	SAMN06209354
Raphanus sativus	3726	PRJNA344915	344915	Plants	Land Plants	426.614	37.2045	GCA_000801105.2	mitochondrion MT:NC_018551.1/AB694744.1; chloroplast Pltd:NC_024469.1/KJ716483.1	JRUI02	10676	58031	61216	2014-12-12	2015-09-29	Scaffold	NCBI	SAMN03084390
Nicotiana sylvestris	4096	PRJNA182500	182500	Plants	Land Plants	2221.99	39.7999	GCA_000393655.1	chloroplast:NC_007500.1/AB237912.1	ASAF01	253918	38814	48160	2013-05-08	2014-08-11	Scaffold	Philip Morris International R&D	SAMN02981529
Euphorbia esula	3993	PRJNA413193	413193	Plants	Land Plants	1124.89	34.1	GCA_002919075.1	NA	PJAD01	1633094	NA	NA	2018-02-06	2018-02-06	Scaffold	USDA-ARS	SAMN08132862
Arabidopsis halleri subsp. gemmifera	63677	PRJEB12914	344747	Plants	Land Plants	196.243	30.7	GCA_900078215.1	NA	FJVB01	2239	NA	NA	2016-09-29	2016-09-29	Scaffold	UNIVERSITY OF ZUERICH	SAMEA3885198
Capsella bursa-pastoris	3719	PRJNA352734	352734	Plants	Land Plants	268.431	33.4	GCA_001974645.1	NA	MPGU01	8186	NA	NA	2017-01-29	2017-04-04	Scaffold	Lomonosov Moscow State University	SAMN05991519
Populus euphratica	75702	PRJNA268063	268063	Plants	Land Plants	496.033	32.8012	GCA_000495115.1	chloroplast Pltd:NC_024747.1/KJ624919.1	AOFL01	9615	36176	49760	2013-11-01	2014-08-11	Scaffold	NCBI	SAMN02981499
Glycine soja	3848	PRJNA407822	407822	Plants	Land Plants	985.26	35.2853	GCA_002907465.1	chromosome 1:CM009366.1; chromosome 2:CM009367.1; chromosome 3:CM009368.1; chromosome 4:CM009369.1; chromosome 5:CM009370.1; chromosome 6:CM009371.1; chromosome 7:CM009372.1; chromosome 8:CM009373.1; chromosome 9:CM009374.1; chromosome 10:CM009375.1; chromosome 11:CM009376.1; chromosome 12:CM009377.1; chromosome 13:CM009378.1; chromosome 14:CM009379.1; chromosome 15:CM009380.1; chromosome 16:CM009381.1; chromosome 17:CM009382.1; chromosome 18:CM009383.1; chromosome 19:CM009384.1; chromosome 20:CM009385.1	PGFP01	805	NA	NA	2018-01-29	2018-01-30	Chromosome	Glycine max cv Lee and Glycine soja PI 483463 sequencing consortium	SAMN07664803
Nicotiana attenuata	49451	PRJNA355166	355166	Plants	Land Plants	2365.68	41.333	GCA_001879085.1	chromosome 1:NC_031989.1/CM007391.1; chromosome 2:NC_031990.1/CM007392.1; chromosome 3:NC_031991.1/CM007393.1; chromosome 4:NC_031992.1/CM007394.1; chromosome 5:NC_031993.1/CM007395.1; chromosome 6:NC_031994.1/CM007396.1; chromosome 7:NC_031995.1/CM007397.1; chromosome 8:NC_031996.1/CM007398.1; chromosome 9:NC_031997.1/CM007399.1; chromosome 10:NC_031998.1/CM007400.1; chromosome 11:NC_031999.1/CM007401.1; chromosome 12:NC_032000.1/CM007402.1	MJEQ01	37194	39470	44491	2016-11-14	2016-11-15	Chromosome	NCBI	SAMN04590212
Cucurbita maxima	3661	PRJNA418295	418295	Plants	Land Plants	271.413	NA	GCA_002738345.1	NA	NEWN01	8299	NA	NA	2017-10-31	2017-10-31	Scaffold	NCBI	SAMN06886671
Triticum dicoccoides	85692	PRJEB19929	386134	Plants	Land Plants	10495	45.9596	GCA_900184675.1	chromosome 1:LT859944.1; chromosome 2:LT859945.1; chromosome 3:LT859946.1; chromosome 4:LT859947.1; chromosome 5:LT859948.1; chromosome 6:LT859949.1; chromosome 7:LT859950.1; chromosome 8:LT859951.1; chromosome 9:LT859952.1; chromosome 10:LT859953.1; chromosome 11:LT859954.1; chromosome 12:LT859955.1; chromosome 13:LT859956.1; chromosome 14:LT859957.1	FXXJ01	149145	NA	NA	2017-06-09	2017-06-09	Chromosome	TEL AVIV UNIVERSITY	SAMEA103910696
Penstemon cyananthus	388136	PRJNA162251	162251	Plants	Land Plants	4.62226	36.4	GCA_000281005.1	NA	AKKG01	9712	NA	NA	2012-07-23	2014-08-11	Contig	Brigham Young University	SAMN02981420
Penstemon davidsonii	160366	PRJNA162455	162455	Plants	Land Plants	2.37523	35.3	GCA_000280985.1	NA	AKKI01	4880	NA	NA	2012-07-23	2014-08-11	Contig	Brigham Young University	SAMN02981422
Penstemon dissectus	160369	PRJNA162457	162457	Plants	Land Plants	2.62809	34.6	GCA_000280965.1	NA	AKKH01	5361	NA	NA	2012-07-23	2014-08-11	Contig	Brigham Young University	SAMN02981421
Leersia perrieri	77586	PRJNA163065	163065	Plants	Land Plants	266.688	42.5997	GCA_000325765.3	chromosome 1:CM002476.1; chromosome 2:CM002480.1; chromosome 3:CM002481.1; chromosome 4:CM002482.1; chromosome 5:CM002483.1; chromosome 6:CM002484.1; chromosome 7:CM002485.1; chromosome 8:CM002486.1; chromosome 9:CM002487.1; chromosome 10:CM002477.1; chromosome 11:CM002478.1; chromosome 12:CM002479.1	ALNV02	12	NA	NA	2012-10-17	2014-08-11	Chromosome	Arizona Genomics Institute	SAMN02981441
Penstemon fruticosus	160371	PRJNA163701	163701	Plants	Land Plants	2.31904	35.2	GCA_000281025.1	NA	AKKJ01	4770	NA	NA	2012-07-23	2014-08-11	Contig	Brigham Young University	SAMN02981423
Helicosporidium sp. ATCC 50920	1291522	PRJNA188927	188927	Plants	Green Algae	12.3738	61.7	GCA_000690575.1	NA	AYPS01	5666	6033	6033	2014-05-13	2014-05-13	Contig	University of British Columbia	SAMN02384563
Passiflora edulis	78168	PRJNA371406	371406	Plants	Land Plants	165.657	38.6	GCA_002156105.1	NA	MUZT01	234012	NA	NA	2017-05-22	2017-05-22	Scaffold	Beltsville Agricultural Research Center	SAMN06298772
Prunus mume	102107	PRJNA246160	246160	Plants	Land Plants	234.03	38.327	GCA_000346735.1	linkage group LG1:NC_024126.1/CM001826.1; linkage group LG2:NC_024127.1/CM001827.1; linkage group LG3:NC_024128.1/CM001828.1; linkage group LG4:NC_024129.1/CM001829.1; linkage group LG5:NC_024130.1/CM001830.1; linkage group LG6:NC_024131.1/CM001831.1; linkage group LG7:NC_024132.1/CM001832.1; linkage group LG8:NC_024133.1/CM001833.1; plastid Pltd:NC_023798.1/KF765450.1	AOHF01	8626	26411	29705	2013-02-28	2014-08-11	Chromosome	NCBI	SAMN02981503
Ananas comosus	4615	PRJNA371634	371634	Plants	Land Plants	382.056	38.5371	GCA_001540865.1	linkage group 1:NC_033621.1/CM003813.1; linkage group 2:NC_033622.1/CM003814.1; linkage group 3:NC_033623.1/CM003815.1; linkage group 4:NC_033624.1/CM003816.1; linkage group 5:NC_033625.1/CM003817.1; linkage group 6:NC_033626.1/CM003818.1; linkage group 7:NC_033627.1/CM003819.1; linkage group 8:NC_033628.1/CM003820.1; linkage group 9:NC_033629.1/CM003821.1; linkage group 10:NC_033630.1/CM003822.1; linkage group 11:NC_033631.1/CM003823.1; linkage group 12:NC_033632.1/CM003824.1; linkage group 13:NC_033633.1/CM003825.1; linkage group 14:NC_033634.1/CM003826.1; linkage group 15:NC_033635.1/CM003827.1; linkage group 16:NC_033636.1/CM003828.1; linkage group 17:NC_033637.1/CM003829.1; linkage group 18:NC_033638.1/CM003830.1; linkage group 19:NC_033639.1/CM003831.1; linkage group 20:NC_033640.1/CM003832.1; linkage group 21:NC_033641.1/CM003833.1; linkage group 22:NC_033642.1/CM003834.1; linkage group 23:NC_033643.1/CM003835.1; linkage group 24:NC_033644.1/CM003836.1; linkage group 25:NC_033645.1/CM003837.1; chloroplast Pltd:NC_026220.1/AP014632.1	LODP01	3129	25444	35775	2016-01-25	2016-03-14	Chromosome	NCBI	SAMN04316497
Punica granatum	22663	PRJNA360679	360679	Plants	Land Plants	296.383	38.5	GCA_002201585.1	NA	MTKT01	17405	29219	29127	2017-06-20	2017-06-20	Scaffold	Anhui Academy of Agricultural Sciences	SAMN06227009
Camelina sativa	90675	PRJNA264159	264159	Plants	Land Plants	641.356	37.4934	GCA_000633955.1	chromosome 1:NC_025685.1/CM002729.1; chromosome 2:NC_025686.1/CM002730.1; chromosome 3:NC_025687.1/CM002731.1; chromosome 4:NC_025688.1/CM002732.1; chromosome 5:NC_025689.1/CM002733.1; chromosome 6:NC_025690.1/CM002734.1; chromosome 7:NC_025691.1/CM002735.1; chromosome 8:NC_025692.1/CM002736.1; chromosome 9:NC_025693.1/CM002737.1; chromosome 10:NC_025694.1/CM002738.1; chromosome 11:NC_025695.1/CM002739.1; chromosome 12:NC_025696.1/CM002740.1; chromosome 13:NC_025697.1/CM002741.1; chromosome 14:NC_025698.1/CM002742.1; chromosome 15:NC_025699.1/CM002743.1; chromosome 16:NC_025700.1/CM002744.1; chromosome 17:NC_025701.1/CM002745.1; chromosome 18:NC_025702.1/CM002746.1; chromosome 19:NC_025703.1/CM002747.1; chromosome 20:NC_025704.1/CM002748.1	JFZQ01	37212	97832	107481	2014-04-17	2014-05-21	Chromosome	NCBI	SAMN02644653
Nelumbo nucifera	4432	PRJNA168000	168000	Plants	Land Plants	804.648	39.4997	GCA_000365185.2	chloroplast Chloroplast:NC_025339.1/KF009944.1	AQOG01	3603	28247	38191	2013-04-15	2014-08-04	Scaffold	University of Illinois at Urbana-Champaign	SAMN02054413
Ensete ventricosum	4639	PRJNA252658	252658	Plants	Land Plants	451.284	38.9	GCA_000818735.2	NA	JTFG02	45745	NA	NA	2015-01-09	2015-11-23	Scaffold	University of Exeter	SAMN02854351
Echinochloa crus-galli	90397	PRJEB22102	414998	Plants	Land Plants	1486.61	38.9	GCA_900205405.1	NA	OAMR01	4534	NA	NA	2017-10-23	2017-10-23	Scaffold	ZHEJIANG UNIVERSITY, CHINA	SAMEA104207156
Auxenochlorella pyrenoidosa	3078	PRJNA171991	171991	Plants	Green Algae	56.993	64	GCA_001430745.1	NA	ANZC01	1346	NA	NA	2015-11-03	2015-11-03	Scaffold	East China University of  Science & Technology	SAMN02954480
Dianthus caryophyllus	3570	PRJDB1491	231907	Plants	Land Plants	567.662	37.8	GCA_000512335.1	NA	BAUD01	45088	NA	NA	2013-12-18	2015-10-10	Scaffold	Kazusa DNA Research Institute	SAMD00012316
Boehmeria nivea	83906	PRJNA417329	417329	Plants	Land Plants	344.617	32.7	GCA_002937015.1	NA	PHNS01	12775	NA	NA	2018-02-21	2018-02-21	Scaffold	Institute of Bast Fiber Crops, Chinese Academy of Agricultural Sciences	SAMN07982878
Barbarea vulgaris	50459	PRJNA321292	321292	Plants	Land Plants	167.352	NA	GCA_001920985.1	NA	LXTM01	7810	NA	NA	2016-12-23	2016-12-23	Scaffold	Aarhus University	SAMN04979170
Citrus medica	171251	PRJNA320023	320023	Plants	Land Plants	406.058	NA	GCA_002013955.2	NA	MKYO02	32732	NA	NA	2017-03-03	2018-01-24	Scaffold	Huazhong Agriculture University	SAMN04914485
Ziziphus jujuba	326968	PRJNA315994	315994	Plants	Land Plants	437.754	34.1503	GCA_000826755.1	chromosome 1:NC_029679.1/CM003114.1; chromosome 2:NC_029680.1/CM003115.1; chromosome 3:NC_029681.1/CM003116.1; chromosome 4:NC_029682.1/CM003117.1; chromosome 5:NC_029683.1/CM003118.1; chromosome 6:NC_029684.1/CM003119.1; chromosome 7:NC_029685.1/CM003120.1; chromosome 8:NC_029686.1/CM003121.1; chromosome 9:NC_029687.1/CM003122.1; chromosome 10:NC_029688.1/CM003123.1; chromosome 11:NC_029689.1/CM003124.1; chromosome 12:NC_029690.1/CM003125.1	JREP01	5897	33079	37526	2014-10-24	2015-02-06	Chromosome	NCBI	SAMN02918186
Actinidia chinensis	3625	PRJNA187206	187206	Plants	Land Plants	604.217	35.2	GCA_000467755.1	NA	AONS01	26721	NA	NA	2013-09-16	2014-08-11	Contig	Boyce Thompson Institute	SAMN02981505
Thlaspi arvense	13288	PRJNA222676	222676	Plants	Land Plants	343.012	38.5	GCA_000956625.1	NA	AZNP01	6768	NA	NA	2015-03-19	2015-07-02	Scaffold	University of Minnesota	SAMN02374852
Triticum urartu	4572	PRJNA182347	182347	Plants	Land Plants	3747.05	46	GCA_000347455.1	NA	AOTI01	499221	29190	24169	2013-03-01	2014-07-25	Scaffold	BGI	SAMN00217315
Utricularia gibba	13748	PRJNA383049	383049	Plants	Land Plants	100.689	41.1434	GCA_002189035.1	chromosome 1:CM007989.1; chromosome 2:CM007990.1; chromosome 3:CM007991.1; chromosome 4:CM007992.1	NEEC01	518	NA	NA	2017-05-31	2017-06-12	Chromosome	University at Buffalo, SUNY	SAMN06684416
Gonium pectorale	33097	PRJNA302163	302163	Plants	Green Algae	148.806	51	GCA_001584585.1	NA	LSYV01	2373	16290	16290	2016-03-09	2016-05-04	Scaffold	Kansas State University	SAMN04493491
Leavenworthia alabamica	310722	PRJNA202983	202983	Plants	Land Plants	173.432	35.4	GCA_000411055.1	NA	ASXC01	11715	NA	NA	2013-06-12	2013-06-14	Scaffold	McGill University	SAMN02146679
Tarenaya hassleriana	28532	PRJNA175230	175230	Plants	Land Plants	249.93	40.5	GCA_000463585.1	NA	AOUI01	12249	30100	41094	2013-09-03	2014-08-11	Scaffold	Beijing Genomics Institution-shenzhen	SAMN02981509
Juglans regia	51240	PRJNA350852	350852	Plants	Land Plants	699.673	36.6	GCA_001411555.1	NA	LIHL01	105803	41973	55627	2015-10-22	2015-10-22	Scaffold	NCBI	SAMN03704235
Morus notabilis	981085	PRJNA202089	202089	Plants	Land Plants	320.379	35.5	GCA_000414095.2	NA	ATGF01	31301	29151	26965	2013-06-24	2014-02-25	Scaffold	BGI	SAMN02141246
Sisymbrium irio	3730	PRJNA202979	202979	Plants	Land Plants	245.55	38	GCA_000411075.1	NA	ASZH01	21357	NA	NA	2013-06-13	2013-06-14	Scaffold	McGill University	SAMN02152446
Aethionema arabicum	228871	PRJNA202984	202984	Plants	Land Plants	192.488	36.2	GCA_000411095.1	NA	ASZG01	18312	NA	NA	2013-06-12	2013-06-14	Scaffold	McGill University	SAMN02169162
Arabis alpina	50452	PRJEB16743	359523	Plants	Land Plants	311.642	37.401	GCA_900128785.1	chromosome 1:LT669788.1; chromosome 2:LT669789.1; chromosome 3:LT669790.1; chromosome 4:LT669791.1; chromosome 5:LT669792.1; chromosome 6:LT669793.1; chromosome 7:LT669794.1; chromosome 8:LT669795.1	NA	8	NA	NA	2016-12-31	2017-08-08	Chromosome	MAX PLANCK INSTITUTE FOR PLANT BREEDING RESEARCH	SAMEA4527704
Betula nana	216990	PRJEB576	182300	Plants	Land Plants	564.011	38.4	GCA_000327005.1	NA	CAOK01	551915	NA	NA	2012-11-28	2015-01-30	Scaffold	QMUL	SAMEA2271942
Cucurbita moschata	3662	PRJNA418582	418582	Plants	Land Plants	269.943	35.5	GCA_002738365.1	NA	NEWM01	3500	NA	NA	2017-10-31	2017-10-31	Scaffold	NCBI	SAMN06886672
